System,ShaftSize,ShaftUnits,SternSize,SternUnits,FSK_Template,FSK_Notes,Priority,RuleType,Is_US_Recommended,Stretch_Type,Stretch_Backend_in,Stretch_Stern_in,FSA_Template,FSA_Tail_OD_in,Hose_Code,Hose_End1_in,Hose_End2_in,Clamp1_Code,Clamp1_Qty,Clamp2_Code,Clamp2_Qty,Comments
SureSeal,1.125,in,2.375,in,nan,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2375-1,2.375,HOSE 2375,2.375,2.375,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Straight; Orientation A->Backend
SureSeal,1.125,in,2.5,in,FSK-1125-2500-0,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2500-0,2.5,HOSE 2500,2.5,2.5,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Straight; Orientation A->Backend
SureSeal,1.125,in,2.5,in,FSK-1125-2500-1,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2500-1,2.5,HOSE 2500,2.5,2.5,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Straight; Orientation A->Backend
SureSeal,1.125,in,2.625,in,nan,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2500-0,2.5,HS 2500-2625,2.5,2.625,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,1.125,in,2.625,in,nan,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2500-0,2.5,HS 2500-2625-1,,,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,1.125,in,2.625,in,nan,,5,Rule Engine,False,Stern,0.0,0.125,FSA-1125-2500-0,2.5,HOSE 2500,2.5,2.5,CLAMP-4000,2,CLAMP-4000,2,"Rule Engine; Straight; Orientation A->Backend; Stretch backend 0.000in, stern 0.125in"
SureSeal,1.125,in,2.625,in,nan,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2500-1,2.5,HS 2500-2625,2.5,2.625,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,1.125,in,2.625,in,nan,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2500-1,2.5,HS 2500-2625-1,,,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,1.125,in,2.75,in,nan,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2500-0,2.5,HS 2500-2750,2.5,2.75,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,1.125,in,2.75,in,nan,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2500-0,2.5,HS 2500-2750-1,,,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,1.125,in,2.75,in,nan,,5,Rule Engine,False,Stern,0.0,0.125,FSA-1125-2500-0,2.5,HS 2500-2625,2.5,2.625,CLAMP-4000,2,CLAMP-4000,2,"Rule Engine; Articulated; Orientation A->Backend; Stretch backend 0.000in, stern 0.125in"
SureSeal,1.125,in,2.75,in,nan,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2500-1,2.5,HS 2500-2750,2.5,2.75,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,1.125,in,2.75,in,nan,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2500-1,2.5,HS 2500-2750-1,,,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,1.125,in,3.0,in,nan,,5,Rule Engine,False,Stern,0.0,0.25,FSA-1125-2500-0,2.5,HS 2500-2750,2.5,2.75,CLAMP-4000,2,CLAMP-4000,2,"Rule Engine; Articulated; Orientation A->Backend; Stretch backend 0.000in, stern 0.250in"
SureSeal,1.125,in,3.0,in,nan,,5,Rule Engine,False,Stern,0.0,0.25,FSA-1125-2500-0,2.5,HS 2500-2750-1,,,CLAMP-4000,2,CLAMP-4000,2,"Rule Engine; Articulated; Orientation A->Backend; Stretch backend 0.000in, stern 0.250in"
SureSeal,1.125,in,3.0,in,nan,,5,Rule Engine,False,Stern,0.0,0.25,FSA-1125-2500-1,2.5,HS 2500-2750,2.5,2.75,CLAMP-4000,2,CLAMP-4000,2,"Rule Engine; Articulated; Orientation A->Backend; Stretch backend 0.000in, stern 0.250in"
SureSeal,1.125,in,3.0,in,nan,,5,Rule Engine,False,Stern,0.0,0.25,FSA-1125-2500-1,2.5,HS 2500-2750-1,,,CLAMP-4000,2,CLAMP-4000,2,"Rule Engine; Articulated; Orientation A->Backend; Stretch backend 0.000in, stern 0.250in"
SureSeal,1.25,in,1.5,in,nan,,5,Rule Engine,False,Stern,0.0,0.25,FSA-1250-2375-0,2.375,HS 2250-2375,2.25,2.375,CLAMP-4000,2,CLAMP-2000,2,"Rule Engine; Articulated; Orientation B->Backend; Stretch backend 0.000in, stern 0.250in"
SureSeal,1.25,in,1.5,in,nan,,5,Rule Engine,False,Stern,0.0,0.25,FSA-1250-2375-0,2.375,HS 2250-2375-1,,,CLAMP-4000,2,CLAMP-2000,2,"Rule Engine; Articulated; Orientation B->Backend; Stretch backend 0.000in, stern 0.250in"
